conf id,input_size,output_size,hidden_size,use_batchnorm,lr,tr loss mean,tr loss std,vl loss mean,vl loss std,tr time mean,vl time mean,tr confusion_matrix mean,tr confusion_matrix std,vl confusion_matrix mean,vl confusion_matrix std,tr f1_score mean,tr f1_score std,vl f1_score mean,vl f1_score std,tr roc_auc mean,tr roc_auc std,vl roc_auc mean,vl roc_auc std,tr precision mean,tr precision std,vl precision mean,vl precision std,tr recall mean,tr recall std,vl recall mean,vl recall std,tr accuracy mean,tr accuracy std,vl accuracy mean,vl accuracy std
1,1408,1,"[512, 128, 32]",True,0.0002,0.041472,0.043199,0.770362,0.352311,0:00:02,0:00:00,5180.25,,1295.0,,0.993629,0.005668,0.924098,0.008477,0.993325,0.006125,0.827682,0.002539,0.999782,0.000378,0.942188,0.002218,0.987608,0.010859,0.906909,0.018088,0.989682,0.009137,0.878185,0.012212
19,1408,1,"[256, 64, 16]",True,0.0002,0.01674,0.029335,0.894004,0.358491,0:00:01,0:00:00,5180.25,,1295.0,,0.995636,0.005549,0.928069,0.010094,0.99556,0.005424,0.823426,0.010078,0.999929,0.000115,0.938694,0.004741,0.99144,0.010947,0.917991,0.021304,0.992935,0.008942,0.883707,0.014901
20,1408,1,"[256, 64, 16]",True,0.002,0.020009,0.023061,0.602133,0.2584,0:00:01,0:00:00,5180.25,,1295.0,,0.997172,0.002929,0.93007,0.002735,0.994276,0.008229,0.819509,0.009797,0.998351,0.00321,0.936147,0.005679,0.996003,0.003681,0.924216,0.010827,0.995377,0.004793,0.886255,0.003454
38,1408,1,"[128, 64, 32]",True,0.002,0.003977,0.004014,0.625597,0.256606,0:00:01,0:00:00,5180.25,,1295.0,,0.998411,0.001347,0.932321,0.007166,0.997668,0.00144,0.818825,0.009734,0.999575,0.000368,0.935077,0.005909,0.997253,0.002738,0.929875,0.018365,0.997404,0.002197,0.889614,0.010367
2,1408,1,"[512, 128, 32]",True,0.002,0.009217,0.012529,0.560744,0.208494,0:00:02,0:00:00,5180.25,,1295.0,,0.997006,0.002321,0.932835,0.003291,0.995691,0.00342,0.813233,0.002489,0.99924,0.000661,0.932128,0.002041,0.994789,0.004008,0.933601,0.008478,0.995116,0.003783,0.889961,0.004798
0,1408,1,"[512, 128, 32]",True,2e-05,0.038825,0.075655,1.113353,0.496982,0:00:02,0:00:00,5180.25,,1295.0,,0.999291,0.000998,0.921804,0.007998,0.999003,0.001091,0.811526,0.010222,0.999835,0.000192,0.934979,0.006102,0.99875,0.001974,0.909314,0.019365,0.998842,0.001629,0.873861,0.01129
18,1408,1,"[256, 64, 16]",True,2e-05,0.278118,0.152465,0.672369,0.437975,0:00:01,0:00:00,5180.25,,1295.0,,0.982974,0.020228,0.913882,0.006438,0.966494,0.04127,0.810232,0.015274,0.990135,0.012894,0.937151,0.009816,0.976042,0.027521,0.892242,0.021035,0.972579,0.032392,0.86251,0.008049
37,1408,1,"[128, 64, 32]",True,0.0002,0.010471,0.014224,1.294146,0.300916,0:00:01,0:00:00,5180.25,,1295.0,,0.998759,0.001213,0.928451,0.003041,0.998679,0.001176,0.808277,0.008205,0.999953,4.4e-05,0.931188,0.004368,0.997571,0.002436,0.925819,0.009088,0.997973,0.001978,0.883205,0.00432
42,1408,1,"[128, 16]",True,2e-05,0.497474,0.038389,0.528611,0.034235,0:00:01,0:00:00,5180.25,,1295.0,,0.911253,0.013871,0.886345,0.011775,0.862608,0.009109,0.807485,0.003625,0.965902,0.001632,0.945067,0.005565,0.862843,0.025626,0.834992,0.025004,0.862758,0.019513,0.825019,0.01525
23,1408,1,"[256, 64, 16]",False,0.002,0.069376,0.106019,0.921241,0.45968,0:00:01,0:00:00,5180.25,,1295.0,,0.993972,0.003911,0.925071,0.00499,0.991297,0.005782,0.80308,0.006516,0.998439,0.001449,0.929713,0.002584,0.989566,0.006952,0.920538,0.010014,0.990194,0.006345,0.877954,0.007492
11,1408,1,"[512, 64]",False,0.002,0.009088,0.007468,1.191427,0.724009,0:00:02,0:00:00,5180.25,,1295.0,,0.995993,0.004409,0.929674,0.006659,0.993431,0.004904,0.80267,0.003125,0.998516,0.000363,0.928125,0.003186,0.993515,0.008422,0.931431,0.016295,0.993485,0.007141,0.884749,0.009673
43,1408,1,"[128, 16]",True,0.0002,0.483527,0.050974,0.512069,0.038794,0:00:01,0:00:00,5180.25,,1295.0,,0.910297,0.017762,0.888513,0.016098,0.853506,0.008573,0.801709,0.012484,0.961443,0.008472,0.941476,0.010728,0.865448,0.038674,0.842396,0.037354,0.861117,0.024462,0.827645,0.020763
5,1408,1,"[512, 128, 32]",False,0.002,0.018524,0.010046,0.845403,0.522488,0:00:01,0:00:00,5180.25,,1295.0,,0.996317,0.002261,0.930027,0.004329,0.993054,0.003487,0.79985,0.009697,0.998129,0.00085,0.926654,0.003734,0.994517,0.003922,0.933459,0.007509,0.993987,0.003684,0.885019,0.006852
26,1408,1,"[256, 32]",True,0.002,0.051607,0.05763,0.764509,0.346162,0:00:01,0:00:00,5180.25,,1295.0,,0.991301,0.0067,0.92106,0.005787,0.990044,0.007288,0.799508,0.00996,0.999205,0.000532,0.929378,0.006426,0.9836,0.012789,0.913181,0.017004,0.985937,0.010782,0.871969,0.007764
